station_identifier,date,observation_type,observation_value,observation_time
USW00013739,20170101,TMAX,106,,,W,2400
USW00013739,20170101,TMIN,6,,,W,2400
USW00013739,20170101,PRCP,0,,,W,2400
USW00013739,20170101,SNOW,0,,,W,
USW00013739,20170101,SNWD,0,,,W,
USW00013739,20170101,AWND,39,,,W,
USW00013739,20170101,TAVG,75,H,,S,
USW00013739,20170101,WDF2,230,,,W,
USW00013739,20170101,WDF5,220,,,W,
USW00013739,20170101,WSF2,98,,,W,
USW00013739,20170101,WSF5,130,,,W,
USW00013739,20170102,TMAX,61,,,W,2400
USW00013739,20170102,TMIN,0,,,W,2400
USW00013739,20170102,PRCP,102,,,W,2400
USW00013739,20170102,SNOW,0,,,W,
USW00013739,20170102,SNWD,0,,,W,
USW00013739,20170102,AWND,41,,,W,
USW00013739,20170102,TAVG,39,H,,S,
USW00013739,20170102,WDF2,40,,,W,
USW00013739,20170102,WDF5,40,,,W,
USW00013739,20170102,WSF2,81,,,W,
USW00013739,20170102,WSF5,112,,,W,
USW00013739,20170102,WT01,1,,,W,
USW00013739,20170103,TMAX,89,,,W,2400
USW00013739,20170103,TMIN,50,,,W,2400
USW00013739,20170103,PRCP,81,,,W,2400
USW00013739,20170103,SNOW,0,,,W,
USW00013739,20170103,SNWD,0,,,W,
USW00013739,20170103,AWND,44,,,W,
USW00013739,20170103,TAVG,61,H,,S,
USW00013739,20170103,WDF2,40,,,W,
USW00013739,20170103,WDF5,50,,,W,
USW00013739,20170103,WSF2,72,,,W,
USW00013739,20170103,WSF5,125,,,W,
USW00013739,20170103,WT01,1,,,W,
USW00013739,20170104,TMAX,122,,,W,2400
USW00013739,20170104,TMIN,17,,,W,2400
USW00013739,20170104,PRCP,3,,,W,2400
USW00013739,20170104,SNOW,0,,,W,
USW00013739,20170104,SNWD,0,,,W,
USW00013739,20170104,AWND,64,,,W,
USW00013739,20170104,TAVG,82,H,,S,
USW00013739,20170104,WDF2,290,,,W,
USW00013739,20170104,WDF5,270,,,W,
USW00013739,20170104,WSF2,116,,,W,
USW00013739,20170104,WSF5,157,,,W,
USW00013739,20170104,WT01,1,,,W,
USW00013739,20170105,TMAX,17,,,W,2400
USW00013739,20170105,TMIN,-21,,,W,2400
USW00013739,20170105,PRCP,5,,,W,2400
USW00013739,20170105,SNOW,23,,,W,
USW00013739,20170105,SNWD,0,,,W,
USW00013739,20170105,AWND,43,,,W,
USW00013739,20170105,TAVG,7,H,,S,
USW00013739,20170105,WDF2,290,,,W,
USW00013739,20170105,WDF5,290,,,W,
USW00013739,20170105,WSF2,107,,,W,
USW00013739,20170105,WSF5,134,,,W,
USW00013739,20170105,WT01,1,,,W,
USW00013739,20170105,WT08,1,,,W,
USW00013739,20170106,TMAX,0,,,W,2400
USW00013739,20170106,TMIN,-32,,,W,2400
USW00013739,20170106,PRCP,15,,,W,2400
USW00013739,20170106,SNOW,25,,,W,
USW00013739,20170106,SNWD,50,,,W,
USW00013739,20170106,AWND,42,,,W,
USW00013739,20170106,TAVG,-11,H,,S,
USW00013739,20170106,WDF2,330,,,W,
USW00013739,20170106,WDF5,310,,,W,
USW00013739,20170106,WSF2,67,,,W,
USW00013739,20170106,WSF5,94,,,W,
USW00013739,20170106,WT01,1,,,W,
USW00013739,20170107,TMAX,-32,,,W,2400
USW00013739,20170107,TMIN,-66,,,W,2400
USW00013739,20170107,PRCP,36,,,W,2400
USW00013739,20170107,SNOW,76,,,W,
USW00013739,20170107,SNWD,50,,,W,
USW00013739,20170107,AWND,58,,,W,
USW00013739,20170107,TAVG,-44,H,,S,
USW00013739,20170107,WDF2,320,,,W,
USW00013739,20170107,WDF5,320,,,W,
USW00013739,20170107,WSF2,89,,,W,
USW00013739,20170107,WSF5,116,,,W,
USW00013739,20170107,WT01,1,,,W,
USW00013739,20170108,TMAX,-43,,,W,2400
USW00013739,20170108,TMIN,-93,,,W,2400
USW00013739,20170108,PRCP,0,,,W,2400
USW00013739,20170108,SNOW,0,,,W,
USW00013739,20170108,SNWD,50,,,W,
USW00013739,20170108,AWND,66,,,W,
USW00013739,20170108,TAVG,-66,H,,S,
USW00013739,20170108,WDF2,300,,,W,
USW00013739,20170108,WDF5,270,,,W,
USW00013739,20170108,WSF2,125,,,W,
USW00013739,20170108,WSF5,157,,,W,
USW00013739,20170109,TMAX,-49,,,W,2400
USW00013739,20170109,TMIN,-110,,,W,2400
USW00013739,20170109,PRCP,0,,,W,2400
USW00013739,20170109,SNOW,0,,,W,
USW00013739,20170109,SNWD,50,,,W,
USW00013739,20170109,AWND,33,,,W,
USW00013739,20170109,TAVG,-73,H,,S,
USW00013739,20170109,WDF2,190,,,W,
USW00013739,20170109,WDF5,200,,,W,
USW00013739,20170109,WSF2,63,,,W,
USW00013739,20170109,WSF5,85,,,W,
USW00013739,20170110,TMAX,56,,,W,2400
USW00013739,20170110,TMIN,-99,,,W,2400
USW00013739,20170110,PRCP,0,,,W,2400
USW00013739,20170110,SNOW,0,,,W,
USW00013739,20170110,SNWD,30,,,W,
USW00013739,20170110,AWND,34,,,W,
USW00013739,20170110,TAVG,-42,H,,S,
USW00013739,20170110,WDF2,210,,,W,
USW00013739,20170110,WDF5,190,,,W,
USW00013739,20170110,WSF2,98,,,W,
USW00013739,20170110,WSF5,130,,,W,
USW00013739,20170111,TMAX,122,,,W,2400
USW00013739,20170111,TMIN,44,,,W,2400
USW00013739,20170111,PRCP,94,,,W,2400
USW00013739,20170111,SNOW,0,,,W,
USW00013739,20170111,SNWD,0,,,W,
USW00013739,20170111,AWND,37,,,W,
USW00013739,20170111,TAVG,67,H,,S,
USW00013739,20170111,WDF2,220,,,W,
USW00013739,20170111,WDF5,230,,,W,
USW00013739,20170111,WSF2,116,,,W,
USW00013739,20170111,WSF5,157,,,W,
USW00013739,20170111,WT01,1,,,W,
USW00013739,20170112,TMAX,194,,,W,2400
USW00013739,20170112,TMIN,94,,,W,2400
USW00013739,20170112,PRCP,13,,,W,2400
USW00013739,20170112,SNOW,0,,,W,
USW00013739,20170112,SNWD,0,,,W,
USW00013739,20170112,AWND,67,,,W,
USW00013739,20170112,TAVG,133,H,,S,
USW00013739,20170112,WDF2,220,,,W,
USW00013739,20170112,WDF5,230,,,W,
USW00013739,20170112,WSF2,107,,,W,
USW00013739,20170112,WSF5,143,,,W,
USW00013739,20170112,WT01,1,,,W,
USW00013739,20170112,WT08,1,,,W,
USW00013739,20170113,TMAX,161,,,W,2400
USW00013739,20170113,TMIN,17,,,W,2400
USW00013739,20170113,PRCP,0,T,,W,2400
USW00013739,20170113,SNOW,0,,,W,
USW00013739,20170113,SNWD,0,,,W,
USW00013739,20170113,AWND,58,,,W,
USW00013739,20170113,TAVG,117,H,,S,
USW00013739,20170113,WDF2,320,,,W,
USW00013739,20170113,WDF5,320,,,W,
USW00013739,20170113,WSF2,107,,,W,
USW00013739,20170113,WSF5,134,,,W,
USW00013739,20170114,TMAX,22,,,W,2400
USW00013739,20170114,TMIN,-10,,,W,2400
USW00013739,20170114,PRCP,3,,,W,2400
USW00013739,20170114,SNOW,0,T,,W,
USW00013739,20170114,SNWD,0,,,W,
USW00013739,20170114,AWND,18,,,W,
USW00013739,20170114,TAVG,16,H,,S,
USW00013739,20170114,WDF2,50,,,W,
USW00013739,20170114,WDF5,10,,,W,
USW00013739,20170114,WSF2,58,,,W,
USW00013739,20170114,WSF5,72,,,W,
USW00013739,20170114,WT04,1,,,W,
USW00013739,20170115,TMAX,50,,,W,2400
USW00013739,20170115,TMIN,-5,,,W,2400
USW00013739,20170115,PRCP,0,,,W,2400
USW00013739,20170115,SNOW,0,,,W,
USW00013739,20170115,SNWD,0,,,W,
USW00013739,20170115,AWND,36,,,W,
USW00013739,20170115,TAVG,17,H,,S,
